Listing Id|Review 1|Review 2|Review 3|Review 4|Review 5|name|neighbourhood|room_type|picture_url|listing_url
4460532|Jonathan's place is a gem. He ensured my stay was comfortable and enjoyable. The room was immaculate. He even provided a map of the neighborhood with some interesting points of historical interest, as well as personal recommendations for food and drink. There are other guests staying there as well, but Jonathan makes sure each guest has their own space to accommodate their needs. Very close to the Orange T subway line, getting into the city was a breeze. I would absolutely stay at Jonathan's again.|Very comfortable and clean room, Jonathan was great, very friendly and the location was very good.|Great, clean, quiet|Great place to stay. Jonathan was an awesome host. The location is very convenient and the community was really friendly. |Jonathan est certainement un des htes les plus accueillants qui soit. Il est extrmement disponible, serviable et sympathique et met tout en oeuvre pour rendre votre sjour agrable. La Modern Room et la Custom Bedroom sont trs confortables, lumineuses et trs bien quipes. Tout est trs propre et soign. N'hsitez pas si vous cherchez un Airbnb  BOSTON. C'est chez Jonathan qu'il faut aller.|Brownstone Modern Bedroom|Roxbury|Private room|https://a0.muscache.com/im/pictures/83761301/25e711c7_original.jpg?aki_policy=large|https://www.airbnb.com/rooms/4460532
619142|Joe  una persona molto gentile e ospitale. La casa si trova in una zona di Boston tranquilla, principalmente residenziale e storica. La linea arancione della metropolitana (community college, la fermata) collega Charlestown al resto della citt.  La casa  come si vede dalle foto, il bagno  un po' piccolo.|lovely apartment and Joe was a great host. Really friendly and helpful.|die Wohnung war wie abgebildet.wir haben uns wohl gefhlt.joe war nett und zuvorkommend.|Joe's place was great and Joe a wonderful host.  Showed us around the area.  Nothing any trouble.  |Joe is a warm, lively and informative host. His listing descriptions were accurate. Charlestown is very walkable and close to all points of interest, without all the noise and traffic of being downtown. | Getaway in Historic Charlestown|Charlestown|Entire home/apt|https://a0.muscache.com/im/pictures/8260493/76d63023_original.jpg?aki_policy=large|https://www.airbnb.com/rooms/619142
7692933|Phyllis!() |Phyllis ,,,MIT,,|the experience was good. phyllis was very welcoming|Beautiful home  great stay!|Super cozy and convenient!  Phyllis' place is great.|Perfect for 1|Brighton|Private room|https://a0.muscache.com/im/pictures/102625677/1f1c9792_original.jpg?aki_policy=large|https://www.airbnb.com/rooms/7692933
11866651|Great place, John was an excellent host. |Second stay at this place and loved it even more the second time! Has everything we needed and the neighborhood is great!|This is a lovely house on a charming street that feels wonderfully quaint while also being exceptionally convenient. It is clean, well-kept, elegantly decorated. The host offered thoughtful touches of hospitality and was also very attentive to our needs. Highly recommended! |Great house and location!|The house is a fabulous stay.  It's well equipped and stocked with everything you would expect to need.  It's been nicely modernized with unique and clever touches.  The house is cozy and warm.  Just note that it is indeed a New England town home, so the spiraling staircase between floors can be challenging for some older guests.  But other than that, John thought of just about everything.  Plenty of towels, blankets, etc .... all the amenities you would expect from a super host.  The bottle of wine and bagels were a nice touch and my son was really glad about the fresh bottle of OJ in the fridge.  It's in walking distance to wonderful eating spots and has a energetic nightlife if you are into that type of thing.  Five Stars.|3 BR2.5 BA Renovated House Parking Top Location|Downtown|Entire home/apt|https://a0.muscache.com/im/pictures/d0c863be-7a62-4a9d-b431-a5a9f267e544.jpg?aki_policy=large|https://www.airbnb.com/rooms/11866651
3129309|Great location!|Great location! Loved it|Solid place and solid location. |Awesome apartment and location but really tough for parking if you are driving! All in all a great deal!|Great location, clean apartment, overall a great experience.| Bright, Modern  Chic Suite  Amazing Location!|North End|Entire home/apt|https://a0.muscache.com/im/pictures/41376719/c61679d3_original.jpg?aki_policy=large|https://www.airbnb.com/rooms/3129309
8302844|My husband and I stayed at Jj's place for a bit over a month. We love Beacon Hill and were very familiar with the area after spending the previous month in a different accommodation.   The apartment was as described in many ways; cozy, subterranean and charming all make sense but read the description with a grain of salt. As other guests have mentioned, the space is dark. Some more lighting might be helpful in completing daily tasks like putting on make-up, shaving, washing dishes, etc. The photos accurately depict the furnishings and give a general feel for the space. There is a small chaise lounge but we found ourselves sitting on the (uncomfortable) bed almost all of the time. The kitchen was nearly non-functional. The bathroom is in serious need of some TLC with a TINY shower and giant crack in the floor tile.  The best part about the apartment is the location; convenient to Whole Foods, convenience stores, bars, liquor stores, coffee shops, gyms, sights, subway, etc. Although the location is prime, it did not justify the price tag.   This might be an OK spot for a solo traveler to rest their head for a couple of nights. It will give you the quintessential Beacon Hill feel but if you are looking for a quality experience -  I would suggest looking elsewhere. |Great apartment in an excellent location. Jj was a brilliant, communicative host and gave clear instructions on how to access the property. Perfect base to explore Boston from!|Apartment was excellent, Jj's instructions were clear and everything was clran ready when we arrived. Great location for discovering Boston!|Appartement idalement situ.  Jj est  l'coute. Il a remplac le matelas pneumatique dfectueux immdiatement.|Location was great! We walked everywhere and took the T every day. T stop was 5 minutes away. Food and drink are very expensive in this location so it was nice to be able to cook most meals. Jj has a stove and the basics for cooking. I would recommend bringing coffee and about over plastic coffee thing since all he has Isa small percolator. I was also glad I brought my own towels and sheets. The place is dim but I found doing my makeup in the hallway was bright enough. |Historic servant's quarters in Beacon Hill|Downtown|Entire home/apt|https://a0.muscache.com/im/pictures/107456072/0c51c155_original.jpg?aki_policy=large|https://www.airbnb.com/rooms/8302844
4105704|Many , many thanks ....... is the best location in Boston and Helen is very, very friendly ...... we Comeback |This was a great little place to stay. It's not right downtown, but it was an easy walk to the T. We ate dinner in JamaicaPlains one night and rode into Boston for the day. Helen had fresh pastries for us every morning. |Thanks for your hospitality.  We had a wonderful visit to Boston and loved the apartment.|The apartment was very cozy and clean. Great location with 5 min walk from the train station. |Clean and Comfortable! Helen is a lovely person, easy to talk to and makes you feel at home. Helen |Sunny Private Studio Aptmt|Jamaica Plain|Entire home/apt|https://a0.muscache.com/im/pictures/55868006/a7f0224e_original.jpg?aki_policy=large|https://www.airbnb.com/rooms/4105704
14072256|Great again|Great place , clean so close to airport and city. So clean and quite neighborhood. |Good place for a good night of sleep|Great if you want to be next to the airport.|A great place to crash during my overnight layover at Logan. It was clean, close to the airport, and an easy walk from the Maverick train (T) station. |E2 - Steps from Maverick Sq  Minutes from Logan|East Boston|Private room|https://a0.muscache.com/im/pictures/4a6077d8-44b5-4da5-af8a-16d69d16187b.jpg?aki_policy=large|https://www.airbnb.com/rooms/14072256
45987|Atef was an excellent host. Great location, stocked and clean!|Atef is a great host!  He had everything planned for a great stay.  I highly recommend his apartment.|Beautiful, well presented studio in a great location. Only minor quibble is the lack of wifi.|Atef was a great host and able to direct us to everything we needed.  The apartment was in a perfect location and very quiet and neat - quaint.  |Atef was a very polite and correct host. His place had everything we needed for a short stay, and very convenient transport to Downtown Boston. We had a great time. Highly recommendable.|Gorgeous Garden Studio Charlestown|Charlestown|Entire home/apt|https://a0.muscache.com/im/pictures/261758/678964ca_original.jpg?aki_policy=large|https://www.airbnb.com/rooms/45987
990668|Ed vlkomnade oss vid ankomst och visade oss runt, Bistod med karta och var mycket hjlpsam ver funderingar betr boende och allt om Boston. Lget r mycket bra , nrhet till centrum och kommunikationer.|Great location and Ed was a very helpful host|It was a great stay. Ed is great host. Thanks again.|Beautiful house in THE neighborhood to stay in when you visit Boston.  Thank you Edward!|Thanks Ed . The place looks amazing especially with the New rooftop balcony!|zEastPrivateBedBath MinsToBus,Metro,HistoricSites|South End|Private room|https://a0.muscache.com/im/pictures/51642866/b4bc01f6_original.jpg?aki_policy=large|https://www.airbnb.com/rooms/990668
